source,code,name,brand,normalized_name,unit,packing,size,capacity,price,price_after_promotion,promotion,url,note,crawl_date,product_key
bachhoaxanh,1253021000261,Thùng 24 lon bia Tiger lon 250ml,Tiger,thung 24 lon bia tiger lon 250ml,Thùng,24,,250ml,268000,258000,4%,https://www.bachhoaxanh.com/bia/thung-24-lon-bia-tiger-lon-250ml,,2025-11-22,TIGER_250ML_24
bachhoaxanh,1253021000039,Thùng 24 lon bia Heineken Silver 250ml,Heineken,thung 24 lon bia heineken silver 250ml,Thùng,24,,250ml,355000,355000,,https://www.bachhoaxanh.com/bia/thung-24-lon-bia-heineken-silver-250ml,,2025-11-22,HEINEKEN_250ML_24
bachhoaxanh,1063021000034,Thùng 24 lon bia Sài Gòn Lager 330ml,Sài Gòn,thung 24 lon bia sai gon lager 330ml,Thùng,24,,330ml,265000,258000,3%,https://www.bachhoaxanh.com/bia/bia-sai-gon-lager-lon-330ml-thung-24-lon,,2025-11-22,SÀIGÒN_330ML_24
bachhoaxanh,8934822804336,Thùng 24 lon bia Tiger Bạc 330ml,Tiger,thung 24 lon bia tiger bac 330ml,Thùng,24,,330ml,399000,399000,,https://www.bachhoaxanh.com/bia/thung-bia-tiger-bac-lon-330ml,,2025-11-22,TIGER_330ML_24
bachhoaxanh,1253021000260,Thùng 24 lon bia Tiger Bạc 250ml,Tiger,thung 24 lon bia tiger bac 250ml,Thùng,24,,250ml,286000,276000,3%,https://www.bachhoaxanh.com/bia/thung-24-lon-bia-tiger-bac-250ml,,2025-11-22,TIGER_250ML_24
bachhoaxanh,1253021000159,Thùng 24 lon bia Blanc 1664 330ml,1664 Blanc,thung 24 lon bia blanc 1664 330ml,Thùng,24,,330ml,410000,410000,,https://www.bachhoaxanh.com/bia/thung-24-lon-bia-kronenbourg-1664-blanc-330ml,,2025-11-22,1664BLANC_330ML_24
bachhoaxanh,1253021000222,Thùng 12 lon bia Hoegaarden đào 500ml,Hoegaarden,thung 12 lon bia hoegaarden ao 500ml,Thùng,12,,500ml,445000,445000,,https://www.bachhoaxanh.com/bia/thung-12-lon-bia-hoegaarden-peach-vi-dao-500ml,,2025-11-22,HOEGAARDEN_500ML_12
bachhoaxanh,1253021000055,Thùng 20 lon bia Budweiser 330ml,Budweiser,thung 20 lon bia budweiser 330ml,Thùng,20,,330ml,305000,289000,5%,https://www.bachhoaxanh.com/bia/thung-20-lon-bia-budweiser-330ml,,2025-11-22,BUDWEISER_330ML_20
bachhoaxanh,1063021000006,Thùng 24 lon bia Huda 330ml,Huda,thung 24 lon bia huda 330ml,Thùng,24,,330ml,282000,282000,,https://www.bachhoaxanh.com/bia/bia-huda-carlsberg-lon-330ml-thung-24-lon,,2025-11-22,HUDA_330ML_24
bachhoaxanh,1253021000186,Thùng 24 lon Bia Red Ruby 330ml,Red Ruby,thung 24 lon bia red ruby 330ml,Thùng,24,,330ml,235000,168000,29%,https://www.bachhoaxanh.com/bia/thung-24-lon-bia-red-ruby-330ml,,2025-11-22,REDRUBY_330ML_24
bachhoaxanh,8936061260249,Thùng 24 lon bia Sapporo 330ml,Sapporo,thung 24 lon bia sapporo 330ml,Thùng,24,,330ml,451000,451000,,https://www.bachhoaxanh.com/bia/bia-sapporo-bac-thung-24-lon-330ml,,2025-11-22,SAPPORO_330ML_24
bachhoaxanh,1253021000034,Thùng 24 lon bia Heineken Bạc 330ml,Heineken,thung 24 lon bia heineken bac 330ml,Thùng,24,,330ml,455000,455000,,https://www.bachhoaxanh.com/bia/thung-24-lon-bia-heineken-silver-330ml,,2025-11-22,HEINEKEN_330ML_24
bachhoaxanh,1253021000247,Thùng 24 lon bia Tiger 330ml,Tiger,thung 24 lon bia tiger 330ml,Thùng,24,,330ml,353000,353000,,https://www.bachhoaxanh.com/bia/thung-24-lon-bia-tiger-lon-cao-330ml,,2025-11-22,TIGER_330ML_24
bachhoaxanh,1253021000193,Thùng 24 lon bia Sài Gòn Special Sleek 330ml,Sài Gòn,thung 24 lon bia sai gon special sleek 330ml,Thùng,24,,330ml,349000,315000,10%,https://www.bachhoaxanh.com/bia/thung-24-lon-bia-sai-gon-special-sleek-330ml,,2025-11-22,SÀIGÒN_330ML_24
bachhoaxanh,1063021000037,Thùng 24 lon bia Tuborg 330ml,Tuborg,thung 24 lon bia tuborg 330ml,Thùng,24,,330ml,369000,369000,,https://www.bachhoaxanh.com/bia/thung-24-lon-bia-tuborg-330ml,,2025-11-22,TUBORG_330ML_24
bachhoaxanh,1063021000018,Thùng 24 lon bia Larue Special 330ml,Larue,thung 24 lon bia larue special 330ml,Thùng,24,,330ml,268000,268000,,https://www.bachhoaxanh.com/bia/bia-larue-lager-special-lon-330ml-th24,,2025-11-22,LARUE_330ML_24
