source,code,name,brand,normalized_name,unit,packing,size,capacity,price,price_after_promotion,promotion,url,note,crawl_date,product_key
kingfoodmart,bia-premium-4-8-warsteiner-lon-500ml-1-lon,Bia Premium 4.8% Warsteiner lon 500ml (1 Lon),,bia premium 4 8 warsteiner lon 500ml 1 lon,Lon,1,,500ml,75000,65000,13%,https://kingfoodmart.com/bia-co-con/bia-premium-4-8-warsteiner-lon-500ml-1-lon,,2025-11-23,500ML_1
kingfoodmart,bia-brewers-gold-5-2-warsteiner-lon-500ml-1-lon,Bia Brewers Gold 5.2% Warsteiner lon 500ml (1 Lon),,bia brewers gold 5 2 warsteiner lon 500ml 1 lon,Lon,1,,500ml,75000,67000,10%,https://kingfoodmart.com/bia-co-con/bia-brewers-gold-5-2-warsteiner-lon-500ml-1-lon,,2025-11-23,500ML_1
kingfoodmart,thung-bia-brewers-gold-5-2-warsteiner-lon-500ml-24-lon,Thùng bia Brewers Gold 5.2% Warsteiner lon 500ml (24 Lon),,thung bia brewers gold 5 2 warsteiner lon 500ml 24 lon,Thùng,24,,500ml,1690000,1550000,8%,https://kingfoodmart.com/bia-co-con/thung-bia-brewers-gold-5-2-warsteiner-lon-500ml-24-lon,,2025-11-23,500ML_24
kingfoodmart,loc-bia-5-sleek-budweiser-330ml-6-lon,Lốc bia 5% Sleek Budweiser 330ml (6 lon),Budweiser,loc bia 5 sleek budweiser 330ml 6 lon,Lon,6,,330ml,123000,119000,3%,https://kingfoodmart.com/bia-co-con/loc-bia-5-sleek-budweiser-330ml-6-lon,,2025-11-23,BUDWEISER_330ML_6
kingfoodmart,bia-5-sleek-budweiser-330ml-1-lon,Bia 5% Sleek Budweiser 330ml (1 lon),Budweiser,bia 5 sleek budweiser 330ml 1 lon,Lon,1,,330ml,22000,22000,,https://kingfoodmart.com/bia-co-con/bia-5-sleek-budweiser-330ml-1-lon,Giá giảm chỉ còn 20000đ/ sản phẩm khi mua 3 sản phẩm cùng loại,2025-11-23,BUDWEISER_330ML_1
kingfoodmart,thung-bia-5-sleek-budweiser-330ml-24-lon,Thùng bia 5% Sleek Budweiser 330ml (24 lon),Budweiser,thung bia 5 sleek budweiser 330ml 24 lon,Thùng,24,,330ml,455000,435000,4%,https://kingfoodmart.com/bia-co-con/thung-bia-5-sleek-budweiser-330ml-24-lon,,2025-11-23,BUDWEISER_330ML_24
kingfoodmart,bia-ipa-0-5l-4-9-gubernija-lon-500ml-1-lon,Bia IPA 0.5l 4.9% Gubernija lon 500ml (1 Lon),,bia ipa 0 5l 4 9 gubernija lon 500ml 1 lon,Lon,1,,500ml,58000,53000,8%,https://kingfoodmart.com/bia-co-con/bia-ipa-0-5l-4-9-gubernija-lon-500ml-1-lon,,2025-11-23,500ML_1
kingfoodmart,bia-4-4-pilsner-urquell-500ml-1-lon,Bia 4.4% Pilsner Urquell lon 500ml (1 Lon),Pilsner Urquell,bia 4 4 pilsner urquell lon 500ml 1 lon,Lon,1,,500ml,70000,63000,10%,https://kingfoodmart.com/bia-co-con/bia-4-4-pilsner-urquell-500ml-1-lon,,2025-11-23,PILSNERURQUELL_500ML_1
kingfoodmart,bia-pale-wheat-5-0-feldschlobchen-500ml-1-lon,Bia Pale Wheat 5.0% Feldschlobchen lon 500ml (1 Lon),,bia pale wheat 5 0 feldschlobchen lon 500ml 1 lon,Lon,1,,500ml,60000,53000,11%,https://kingfoodmart.com/bia-co-con/bia-pale-wheat-5-0-feldschlobchen-500ml-1-lon,,2025-11-23,500ML_1
kingfoodmart,bia-vang-5-budvar-330ml-1-lon,Bia vàng 5% Budvar 330ml (1 lon),,bia vang 5 budvar 330ml 1 lon,Lon,1,,330ml,50000,40000,20%,https://kingfoodmart.com/bia-co-con/bia-vang-5-budvar-330ml-1-lon,,2025-11-23,330ML_1
kingfoodmart,bia-wheat-5-4-san-miguel-490ml-1-lon,Bia Wheat 5.4% San Miguel 490ml (1 Lon),San Miguel,bia wheat 5 4 san miguel 490ml 1 lon,Lon,1,,490ml,48000,40000,16%,https://kingfoodmart.com/bia-co-con/bia-wheat-5-4-san-miguel-490ml-1-lon,,2025-11-23,SANMIGUEL_490ML_1
kingfoodmart,bia-pilsner-4-9-feldschlob-500ml-1-lon,Bia Pilsner 4.9% Feldschlobchen lon 500ml (1 Lon),,bia pilsner 4 9 feldschlobchen lon 500ml 1 lon,Lon,1,,500ml,58000,49000,15%,https://kingfoodmart.com/bia-co-con/bia-pilsner-4-9-feldschlob-500ml-1-lon,,2025-11-23,500ML_1
kingfoodmart,bia-blonde-ale-6-abbaye-chai-330ml-1-chai,Bia Blonde Ale 6% Abbaye chai 330ml (1 Chai),Abbaye,bia blonde ale 6 abbaye chai 330ml 1 chai,Lon,1,,330ml,109000,109000,,https://kingfoodmart.com/bia-co-con/bia-blonde-ale-6-abbaye-chai-330ml-1-chai,,2025-11-23,ABBAYE_330ML_1
kingfoodmart,bia-dark-6-9-st-sebastiaan-chai-500ml-3,Bia Dark 6.9% St. Sebastiaan chai 500ml (1 Chai),St. Sebastiaan,bia dark 6 9 st sebastiaan chai 500ml 1 chai,Chai,1,,500ml,297000,297000,,https://kingfoodmart.com/bia-co-con/bia-dark-6-9-st-sebastiaan-chai-500ml-3,,2025-11-23,ST.SEBASTIAAN_500ML_1
kingfoodmart,bia-vang-5-budvar-330ml-1-lon,Bia vàng 5% Budvar 330ml (1 lon),,bia vang 5 budvar 330ml 1 lon,Lon,1,,330ml,50000,40000,20%,https://kingfoodmart.com/bia-co-con/bia-vang-5-budvar-330ml-1-lon,,2025-11-23,330ML_1
kingfoodmart,bia-wheat-5-4-san-miguel-490ml-1-lon,Bia Wheat 5.4% San Miguel 490ml (1 Lon),San Miguel,bia wheat 5 4 san miguel 490ml 1 lon,Lon,1,,490ml,48000,40000,16%,https://kingfoodmart.com/bia-co-con/bia-wheat-5-4-san-miguel-490ml-1-lon,,2025-11-23,SANMIGUEL_490ML_1
kingfoodmart,bia-pilsner-4-9-feldschlob-500ml-1-lon,Bia Pilsner 4.9% Feldschlobchen lon 500ml (1 Lon),,bia pilsner 4 9 feldschlobchen lon 500ml 1 lon,Lon,1,,500ml,58000,49000,15%,https://kingfoodmart.com/bia-co-con/bia-pilsner-4-9-feldschlob-500ml-1-lon,,2025-11-23,500ML_1
kingfoodmart,bia-pale-wheat-5-0-feldschlobchen-500ml-1-lon,Bia Pale Wheat 5.0% Feldschlobchen lon 500ml (1 Lon),,bia pale wheat 5 0 feldschlobchen lon 500ml 1 lon,Lon,1,,500ml,60000,53000,11%,https://kingfoodmart.com/bia-co-con/bia-pale-wheat-5-0-feldschlobchen-500ml-1-lon,,2025-11-23,500ML_1
kingfoodmart,bia-premium-4-8-warsteiner-lon-500ml-1-lon,Bia Premium 4.8% Warsteiner lon 500ml (1 Lon),,bia premium 4 8 warsteiner lon 500ml 1 lon,Lon,1,,500ml,75000,65000,13%,https://kingfoodmart.com/bia-co-con/bia-premium-4-8-warsteiner-lon-500ml-1-lon,,2025-11-23,500ML_1
kingfoodmart,bia-brewers-gold-5-2-warsteiner-lon-500ml-1-lon,Bia Brewers Gold 5.2% Warsteiner lon 500ml (1 Lon),,bia brewers gold 5 2 warsteiner lon 500ml 1 lon,Lon,1,,500ml,75000,67000,10%,https://kingfoodmart.com/bia-co-con/bia-brewers-gold-5-2-warsteiner-lon-500ml-1-lon,,2025-11-23,500ML_1
kingfoodmart,bia-4-4-pilsner-urquell-500ml-1-lon,Bia 4.4% Pilsner Urquell lon 500ml (1 Lon),Pilsner Urquell,bia 4 4 pilsner urquell lon 500ml 1 lon,Lon,1,,500ml,70000,63000,10%,https://kingfoodmart.com/bia-co-con/bia-4-4-pilsner-urquell-500ml-1-lon,,2025-11-23,PILSNERURQUELL_500ML_1
kingfoodmart,bia-ipa-0-5l-4-9-gubernija-lon-500ml-1-lon,Bia IPA 0.5l 4.9% Gubernija lon 500ml (1 Lon),,bia ipa 0 5l 4 9 gubernija lon 500ml 1 lon,Lon,1,,500ml,58000,53000,8%,https://kingfoodmart.com/bia-co-con/bia-ipa-0-5l-4-9-gubernija-lon-500ml-1-lon,,2025-11-23,500ML_1
kingfoodmart,thung-bia-brewers-gold-5-2-warsteiner-lon-500ml-24-lon,Thùng bia Brewers Gold 5.2% Warsteiner lon 500ml (24 Lon),,thung bia brewers gold 5 2 warsteiner lon 500ml 24 lon,Thùng,24,,500ml,1690000,1550000,8%,https://kingfoodmart.com/bia-co-con/thung-bia-brewers-gold-5-2-warsteiner-lon-500ml-24-lon,,2025-11-23,500ML_24
kingfoodmart,thung-bia-premium-4-8-warsteiner-lon-500ml-24-lon,Thùng bia Premium 4.8% Warsteiner lon 500ml (24 Lon),,thung bia premium 4 8 warsteiner lon 500ml 24 lon,Thùng,24,,500ml,1690000,1550000,8%,https://kingfoodmart.com/bia-co-con/thung-bia-premium-4-8-warsteiner-lon-500ml-24-lon,,2025-11-23,500ML_24
kingfoodmart,thung-bia-5-sleek-budweiser-330ml-24-lon,Thùng bia 5% Sleek Budweiser 330ml (24 lon),Budweiser,thung bia 5 sleek budweiser 330ml 24 lon,Thùng,24,,330ml,455000,435000,4%,https://kingfoodmart.com/bia-co-con/thung-bia-5-sleek-budweiser-330ml-24-lon,,2025-11-23,BUDWEISER_330ML_24
kingfoodmart,loc-bia-5-sleek-budweiser-330ml-6-lon,Lốc bia 5% Sleek Budweiser 330ml (6 lon),Budweiser,loc bia 5 sleek budweiser 330ml 6 lon,Lon,6,,330ml,123000,119000,3%,https://kingfoodmart.com/bia-co-con/loc-bia-5-sleek-budweiser-330ml-6-lon,,2025-11-23,BUDWEISER_330ML_6
kingfoodmart,thung-bia-crystal-4-2-tiger-330ml-24-lon-2,Thùng bia crystal 4.2% Tiger 330ml (24 Lon),Tiger,thung bia crystal 4 2 tiger 330ml 24 lon,Thùng,24,,330ml,399000,399000,,https://kingfoodmart.com/bia-co-con/thung-bia-crystal-4-2-tiger-330ml-24-lon-2,"Mua 2 thùng, tặng ponnie - xúc xích vị brawurst 210g. Quà tặng có hạn, kiểm tra giỏ hàng trước khi thanh toán
Tặng voucher giảm 25K cho đơn rau, thịt cá, trái cây & đồ đông lạnh kế tiếp khi mua 1 thùng bia – Ưu đãi chỉ có online!",2025-11-23,TIGER_330ML_24
kingfoodmart,thung-bia-nau-5-lon-sleek-tiger-lon-330ml-24-lon,Thùng bia nâu 5% lon Sleek Tiger lon 330ml (24 Lon),Tiger,thung bia nau 5 lon sleek tiger lon 330ml 24 lon,Thùng,24,,330ml,357000,357000,,https://kingfoodmart.com/bia-co-con/thung-bia-nau-5-lon-sleek-tiger-lon-330ml-24-lon,"Tặng voucher giảm 25K cho đơn rau, thịt cá, trái cây & đồ đông lạnh kế tiếp khi mua 1 thùng bia – Ưu đãi chỉ có online!",2025-11-23,TIGER_330ML_24
kingfoodmart,bia-wheat-5-2-eibauer-hefeweizen-500ml-1-lon,Bia Hefeweizen Wheat 5.2% Eibauer lon 500ml (1 Lon),,bia hefeweizen wheat 5 2 eibauer lon 500ml 1 lon,Lon,1,,500ml,58000,58000,,https://kingfoodmart.com/bia-co-con/bia-wheat-5-2-eibauer-hefeweizen-500ml-1-lon,,2025-11-23,500ML_1
kingfoodmart,bia-nau-5-lon-sleek-tiger-lon-330ml-1-lon,Bia nâu 5% lon Sleek Tiger lon 330ml (1 Lon),Tiger,bia nau 5 lon sleek tiger lon 330ml 1 lon,Lon,1,,330ml,19000,19000,,https://kingfoodmart.com/bia-co-con/bia-nau-5-lon-sleek-tiger-lon-330ml-1-lon,,2025-11-23,TIGER_330ML_1
kingfoodmart,bia-crystal-4-2-tiger-330ml-1-lon,Bia crystal 4.2% Tiger 330ml (1 Lon),Tiger,bia crystal 4 2 tiger 330ml 1 lon,Lon,1,,330ml,20000,20000,,https://kingfoodmart.com/bia-co-con/bia-crystal-4-2-tiger-330ml-1-lon,,2025-11-23,TIGER_330ML_1
kingfoodmart,thung-bia-silver-cool-pack-heineken-250ml-24-lon,Thùng bia Silver Cool Pack Heineken 250ml (24 Lon),Heineken,thung bia silver cool pack heineken 250ml 24 lon,Thùng,24,,250ml,360000,360000,,https://kingfoodmart.com/bia-co-con/thung-bia-silver-cool-pack-heineken-250ml-24-lon,"Tặng voucher giảm 25K cho đơn rau, thịt cá, trái cây & đồ đông lạnh kế tiếp khi mua 1 thùng bia – Ưu đãi chỉ có online!",2025-11-23,HEINEKEN_250ML_24
kingfoodmart,bia-lager-4-3-saigon-330ml-1-lon,Bia Lager 4.3% Saigon 330ml (1 Lon),,bia lager 4 3 saigon 330ml 1 lon,Lon,1,,330ml,13000,13000,,https://kingfoodmart.com/bia-co-con/bia-lager-4-3-saigon-330ml-1-lon,,2025-11-23,330ML_1
kingfoodmart,bia-5-sleek-budweiser-330ml-1-lon,Bia 5% Sleek Budweiser 330ml (1 lon),Budweiser,bia 5 sleek budweiser 330ml 1 lon,Lon,1,,330ml,22000,22000,,https://kingfoodmart.com/bia-co-con/bia-5-sleek-budweiser-330ml-1-lon,Giá giảm chỉ còn 20000đ/ sản phẩm khi mua 3 sản phẩm cùng loại,2025-11-23,BUDWEISER_330ML_1
