source,code,name,brand,normalized_name,unit,packing,size,capacity,price,price_after_promotion,promotion,url,note,crawl_date,product_key
lottemart,18935012413328,Thùng 24 Lon Bia Sài Gòn Lager 4.3% ABV 330ml,Sài Gòn,thung 24 lon bia sai gon lager 4 3 abv 330ml,Thùng,24,,330ml,276000,264000,4.35%,https://www.lottemart.vn/vi-nsg/product/thung-24-lon-bia-sai-gon-lager-330ml-lon-18935012413328-p10826,,2025-11-22,SÀIGÒN_330ML_24
lottemart,38935012443305,Lốc 6 Lon Bia Sài Gòn Special Sleek 4.9% ABV 330ml,Sài Gòn,loc 6 lon bia sai gon special sleek 4 9 abv 330ml,Lon,6,,330ml,84000,84000,,https://www.lottemart.vn/vi-nsg/product/sai-gon-special-sleek-beer-4-9-abv-330ml-x-6-cans-38935012443305-p48301,,2025-11-22,SÀIGÒN_330ML_6
lottemart,8934692090037,Thùng 24 Lon Bia 1664 Blanc 5% ABV 330ml,1664 Blanc,thung 24 lon bia 1664 blanc 5 abv 330ml,Thùng,24,,330ml,405600,405600,,https://www.lottemart.vn/vi-nsg/product/bia-blanc-1664-lon-330ml-8934692090037-p49560,,2025-11-22,1664BLANC_330ML_24
lottemart,330ml,Bia Tuyết Edelweiss 4.9% ABV 330ml x Thùng 24 Lon,Edelweiss,bia tuyet edelweiss 4 9 abv 330ml x thung 24 lon,Thùng,24,,330ml,470400,470400,,https://www.lottemart.vn/vi-nsg/product/edelweiss-snow-beer-4-9-abv-330ml-pack-of-24-cans-9028800740965-p10489,,2025-11-22,EDELWEISS_330ML_24
lottemart,8936094291210,Thùng 24 Lon Bia Budweiser 5% ABV 330ml/Lon,Budweiser,thung 24 lon bia budweiser 5 abv 330ml lon,Thùng,24,,330ml,463200,429600,7%,https://www.lottemart.vn/vi-nsg/product/thung-24-lon-bia-budweiser-330ml-lon-8936094291210-p153,,2025-11-22,BUDWEISER_330ML_24
lottemart,export,Thùng 24 Lon Bia Sài Gòn Export Premium 4.8% ABV 330ml,Sài Gòn,thung 24 lon bia sai gon export premium 4 8 abv 330ml,Thùng,24,,330ml,292800,285600,2.46%,https://www.lottemart.vn/vi-nsg/product/sai-gon-export-premium-beer-4-8-abv-330ml-x-24-cans-18935012443349-p68366,,2025-11-22,SÀIGÒN_330ML_24
lottemart,sapporo,Thùng 24 Lon Bia Sapporo Premium 5% ABV 330ml,Sapporo,thung 24 lon bia sapporo premium 5 abv 330ml,Thùng,24,,330ml,477600,468000,2.01%,https://www.lottemart.vn/vi-nsg/product/thung-24-lon-bia-sapporo-premium-5-abv-330ml-8936061260249-p10525,,2025-11-22,SAPPORO_330ML_24
lottemart,8936094291326,Thùng 12 Lon Bia Budweiser 5% ABV 500ml,Budweiser,thung 12 lon bia budweiser 5 abv 500ml,Thùng,12,,500ml,358800,358800,,https://www.lottemart.vn/vi-nsg/product/budweiser-beer-5-abv-500ml-x-12-cans-8936094291326-p10624,,2025-11-22,BUDWEISER_500ML_12
lottemart,8934692090068,Thùng 24 Chai Bia 1664 Blanc 5% ABV 330ml,1664 Blanc,thung 24 chai bia 1664 blanc 5 abv 330ml,Thùng,24,,330ml,480000,480000,,https://www.lottemart.vn/vi-nsg/product/thung-24-chai-bia-blanc-1664-330ml-8934692090068-p10645,,2025-11-22,1664BLANC_330ML_24
lottemart,38935012413322,Lốc 6 Lon Bia Sài Gòn Lager 4.3% ABV Lon 330ml,Sài Gòn,loc 6 lon bia sai gon lager 4 3 abv lon 330ml,Lon,6,,330ml,69000,66000,4.35%,https://www.lottemart.vn/vi-nsg/product/loc-6-lon-bia-sai-gon-lager-lon-330ml-38935012413322-p1325,,2025-11-22,SÀIGÒN_330ML_6
lottemart,8936036201215,Thùng 24 Chai Bia Hoegaarden White 4.9% 330ml,Hoegaarden,thung 24 chai bia hoegaarden white 4 9 330ml,Thùng,24,,330ml,768000,768000,,https://www.lottemart.vn/vi-nsg/product/thung-24-chai-bia-hoegaarden-trang-chai-330ml-chai-8936036201215-p11162,,2025-11-22,HOEGAARDEN_330ML_24
lottemart,8935012413338,Bia 333 5.3% ABV Lon 330ml,333,bia 333 5 3 abv lon 330ml,Lon,1,,330ml,11900,11900,,https://www.lottemart.vn/vi-nsg/product/bia-333-lon-330ml-8935012413338-p3821,,2025-11-22,333_330ML_1
lottemart,sapporo,Lốc 6 Lon Bia Sapporo Premium 5% ABV 330ml,Sapporo,loc 6 lon bia sapporo premium 5 abv 330ml,Lon,6,,330ml,119400,117000,2.01%,https://www.lottemart.vn/vi-nsg/product/sapporo-premium-beer-5-abv-330ml-x-6-cans-8936061260232-p10797,,2025-11-22,SAPPORO_330ML_6
lottemart,8934822801335,Bia Tiger Crystal 4.6% Lon 330ml,Tiger,bia tiger crystal 4 6 lon 330ml,Lon,4,,330ml,16900,16500,2.37%,https://www.lottemart.vn/vi-nsg/product/bia-tiger-sleek-crystal-4-6-abv-lon-330ml-8934822801335-p10459,,2025-11-22,TIGER_330ML_4
lottemart,carlsberg,Thùng 24 Lon Bia Carlsberg Danish Pilsner 5% ABV 330ml,Carlsberg,thung 24 lon bia carlsberg danish pilsner 5 abv 330ml,Thùng,24,,330ml,456000,456000,,https://www.lottemart.vn/vi-nsg/product/bia-carlsberg-pilsner-330ml-8934692020225-p47099,,2025-11-22,CARLSBERG_330ML_24
