source,code,name,brand,normalized_name,unit,packing,size,capacity,price,price_after_promotion,promotion,url,note,crawl_date,product_key
megamarket,,"Bia Tiger Crytal, thùng 24 lon, 330ml",Tiger,bia tiger crytal thung 24 lon 330ml,Thùng,24,,330ml,393000,393000,,https://online.mmvietnam.com/product/bia-tiger-crytal-thung-24-lon-330ml.html,,2025-11-22,TIGER_330ML_24
megamarket,,"Bia Tiger Sleek, thùng 24 lon, 330ml",Tiger,bia tiger sleek thung 24 lon 330ml,Thùng,24,,330ml,352000,340000,3%,https://online.mmvietnam.com/product/bia-tiger-sleek-330ml-thung-24-lon.html,,2025-11-22,TIGER_330ML_24
megamarket,DA53720045,"Bia Heineken Silver, thùng 24 lon, 330ml",Heineken,bia heineken silver thung 24 lon 330ml,Thùng,24,,330ml,451000,451000,,https://online.mmvietnam.com/product/bia-heineken-silver-thung-24-lon-330ml.html,,2025-11-22,HEINEKEN_330ML_24
megamarket,,"Bia Heineken Silver, thùng 24 lon, 250ml",Heineken,bia heineken silver thung 24 lon 250ml,Thùng,24,,250ml,360000,360000,,https://online.mmvietnam.com/product/bia-heineken-silver-thung-24-lon-250ml.html,Mua từ 3 giảm 2%,2025-11-22,HEINEKEN_250ML_24
megamarket,,"Bia Heineken Premium Sleek, thùng 24 lon, 330ml",Heineken,bia heineken premium sleek thung 24 lon 330ml,Thùng,24,,330ml,446000,446000,,https://online.mmvietnam.com/product/bia-heineken-premium-sleek-thung-24-lon-330ml.html,,2025-11-22,HEINEKEN_330ML_24
megamarket,,"Bia Sài Gòn Special Sleek, thùng 24 lon, 330ml",Sài Gòn,bia sai gon special sleek thung 24 lon 330ml,Thùng,24,,330ml,330000,329000,0%,https://online.mmvietnam.com/product/bia-sai-gon-special-sleek-thung-24-lon-330ml.html,,2025-11-22,SÀIGÒN_330ML_24
megamarket,,"Bia Hà Nội, thùng 24 lon, 330ml",Hà Nội,bia ha noi thung 24 lon 330ml,Thùng,24,,330ml,269000,269000,,https://online.mmvietnam.com/product/bia-ha-noi-thung-24-lon-330ml.html,,2025-11-22,HÀNỘI_330ML_24
megamarket,,"Bia Sài Gòn Lager, thùng 24 lon, 330ml",Sài Gòn,bia sai gon lager thung 24 lon 330ml,Thùng,24,,330ml,284000,259000,9%,https://online.mmvietnam.com/product/bia-sai-gon-lager-thung-24-lon-330ml.html,,2025-11-22,SÀIGÒN_330ML_24
megamarket,,"Bia Chang, thùng 24 lon, 330ml",Chang,bia chang thung 24 lon 330ml,Thùng,24,,330ml,380000,380000,,https://online.mmvietnam.com/product/bia-chang-thung-24-lon-330ml.html,Mua từ 3 giảm 2%,2025-11-22,CHANG_330ML_24
megamarket,,"Bia Corona Extra, thùng 24 chai, 300ml",Corona,bia corona extra thung 24 chai 300ml,Thùng,24,,300ml,599000,599000,,https://online.mmvietnam.com/product/bia-corona-extra-thung-24-chai-300ml.html,Mua từ 3 giảm 2.01%,2025-11-22,CORONA_300ML_24
megamarket,,"Bia Larue Special, thùng 24 lon, 330ml",Larue,bia larue special thung 24 lon 330ml,Thùng,24,,330ml,265000,265000,,https://online.mmvietnam.com/product/bia-larue-special-thung-24-lon-330ml.html,Mua từ 3 giảm 2%,2025-11-22,LARUE_330ML_24
megamarket,,"Bia Sapporo Premium, thùng 24 lon, 330ml",Sapporo,bia sapporo premium thung 24 lon 330ml,Thùng,24,,330ml,435000,435000,,https://online.mmvietnam.com/product/bia-sapporo-premium-thung-24-lon-330ml.html,,2025-11-22,SAPPORO_330ML_24
megamarket,,"Bia 333, thùng 24 lon, 330ml",333,bia 333 thung 24 lon 330ml,Thùng,24,,330ml,275000,275000,,https://online.mmvietnam.com/product/bia-333-thung-24-lon-330ml.html,,2025-11-22,333_330ML_24
megamarket,,"Bia Trúc Bạch Sleek, thùng 24 lon, 330ml",Trúc Bạch Sleek,bia truc bach sleek thung 24 lon 330ml,Thùng,24,,330ml,435000,435000,,https://online.mmvietnam.com/product/bia-truc-bach-sleek-thung-24-lon-330ml.html,Mua từ 3 giảm 2%,2025-11-22,TRÚCBẠCHSLEEK_330ML_24
megamarket,,"Bia 1664 Blanc, thùng 24 chai, 330ml",1664 Blanc,bia 1664 blanc thung 24 chai 330ml,Thùng,24,,330ml,461000,461000,,https://online.mmvietnam.com/product/bia-1664-blanc-thung-24-chai-330ml.html,Mua từ 3 giảm 2%,2025-11-22,1664BLANC_330ML_24
megamarket,,"Bia Tiger, thùng 24 lon, 250ml",Tiger,bia tiger thung 24 lon 250ml,Thùng,24,,250ml,265000,265000,,https://online.mmvietnam.com/product/bia-tiger-thung-24-lon-250ml.html,,2025-11-22,TIGER_250ML_24
megamarket,,"Bia Hanoi Premium, thùng 24 lon, 330ml",,bia hanoi premium thung 24 lon 330ml,Thùng,24,,330ml,319000,319000,,https://online.mmvietnam.com/product/bia-hanoi-premium-thung-24-lon-330ml.html,Mua từ 3 giảm 1.98%,2025-11-22,330ML_24
megamarket,,"Bia Halida, thùng 24 lon, 330ml",Halida,bia halida thung 24 lon 330ml,Thùng,24,,330ml,234000,234000,,https://online.mmvietnam.com/product/bia-halida-thung-24-lon-330ml.html,Mua từ 3 giảm 1.97%,2025-11-22,HALIDA_330ML_24
